feature,lobe,artery_or_vein,SCALE,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,test_notes,t-test_control_epah,wilcoxon_control_epah,t-test_control_pah,wilcoxon_control_pah,t-test_epah_pah,wilcoxon_epah_pah
FDs_FACTOR_1_0_SCALE_20SizeBy1__Fractal_Dimension,whole,,1,91,2.385966534,0.044026213,2.262884538,2.356428618,2.386755877,2.41524472,2.483300906,37,2.396339089,0.040597903,2.303072078,2.378355631,2.390514985,2.425374009,2.483300906,12,2.385703011,0.036285345,2.331523332,2.359552938,2.377029299,2.412827719,2.456083985,42,2.376904099,0.047677506,2.262884538,2.346401114,2.381005836,2.413976833,2.467178535,,0.423233292,0.185364995,0.056452849,0.072286583,0.557270374,0.319841938
FDs_FACTOR_1_1_SCALE_20SizeBy1__Fractal_Dimension,whole,,1.1,91,2.439468956,0.042133536,2.322597058,2.41153613,2.441668636,2.467227883,2.528630874,37,2.449495272,0.037906124,2.363333323,2.434836708,2.443345,2.476846578,2.528630874,12,2.438977042,0.03504956,2.388034765,2.413940143,2.428874028,2.466786727,2.507188232,42,2.430776796,0.046232399,2.322597058,2.400934828,2.436776441,2.466885123,2.517329326,,0.399734638,0.173197231,0.054641767,0.06703161,0.572461976,0.342473416
FDs_FACTOR_1_2_SCALE_20SizeBy1__Fractal_Dimension,whole,,1.2,91,2.485988929,0.040202589,2.368947238,2.459849583,2.487729953,2.512674921,2.565518363,37,2.495735342,0.035134155,2.41655626,2.481295181,2.491676125,2.520730622,2.565518363,12,2.485575636,0.033908715,2.439335724,2.461936946,2.474494319,2.511850054,2.551637647,42,2.477520887,0.044679703,2.368947238,2.451597644,2.483057844,2.512758487,2.559406985,,0.384668385,0.191643118,0.049605281,0.058552364,0.566258492,0.312439575
FDs_FACTOR_1_3_SCALE_20SizeBy1__Fractal_Dimension,whole,,1.3,91,2.526146707,0.038178595,2.408366996,2.501977086,2.528718059,2.552678943,2.60097574,37,2.535639786,0.032016145,2.464076446,2.51973051,2.532727699,2.556764378,2.60097574,12,2.525680275,0.033103822,2.485011505,2.502554237,2.514909211,2.551096164,2.588976219,42,2.517917023,0.043067503,2.408366996,2.494994544,2.521997905,2.552112147,2.593746097,,0.357676473,0.179216169,0.043535311,0.055186731,0.566967214,0.334861459
FDs_FACTOR_1_4_SCALE_20SizeBy1__Fractal_Dimension,whole,,1.4,91,2.561105486,0.036190139,2.444728995,2.538791376,2.563957208,2.585648631,2.630518234,37,2.570427169,0.029115158,2.505553777,2.55355566,2.566389339,2.588121641,2.630518234,12,2.559941337,0.032381228,2.51820071,2.536094461,2.551486134,2.585034951,2.620108518,42,2.553226142,0.041315438,2.444728995,2.529501332,2.556883581,2.585216349,2.622932645,,0.296702974,0.145061116,0.03795957,0.050939087,0.606557814,0.365685156
FDs_FACTOR_1_5_SCALE_20SizeBy1__Fractal_Dimension,whole,,1.5,91,2.591056215,0.03430998,2.478406863,2.570706606,2.591242239,2.613655038,2.655972997,37,2.600319224,0.026329853,2.542313029,2.582739754,2.597835424,2.61605967,2.655972997,12,2.589233493,0.032613895,2.543669249,2.565884879,2.583948411,2.613558112,2.647328048,42,2.583416722,0.0393924,2.478406863,2.558982782,2.587859542,2.613108519,2.64644714,,0.238129156,0.161550631,0.030057576,0.041453467,0.642509919,0.39740171
FDs_20SizeBy1_allOffsets__Fractal_Dimension,whole,,1,91,2.392817999,0.043860409,2.268660263,2.362735361,2.393560408,2.421001492,2.492536354,37,2.402716168,0.041147364,2.308389033,2.381860176,2.396889941,2.431717374,2.492536354,12,2.392571666,0.035023135,2.336882408,2.369415269,2.385316688,2.417901858,2.459067172,42,2.384168565,0.047350195,2.268660263,2.354964567,2.387880063,2.419609558,2.474909317,,0.446749855,0.204584119,0.068707802,0.082234428,0.571016989,0.312439575
FDs_20SizeBy1_ArtVein__Fractal_Dimension,whole,artery,1,91,2.112876169,0.057365494,1.97026405,2.073254142,2.114476104,2.151612408,2.274682367,37,2.095511981,0.059081032,1.996550272,2.055630973,2.091138444,2.136910499,2.224757414,12,2.120342091,0.042448876,2.033029607,2.102791478,2.128794539,2.153103831,2.168425888,42,2.126040071,0.05665202,1.97026405,2.098994456,2.123778996,2.160946675,2.274682367,,0.185581406,0.073098622,0.021739359,0.010893187,0.748290895,0.495849827
FDs_ArtVein__Fractal_Dimension,whole,artery,1,91,2.215853913,0.042165389,2.081748445,2.192064327,2.21873762,2.238480845,2.31644769,37,2.215003096,0.034655627,2.15349173,2.197304972,2.21192658,2.228105405,2.31644769,12,2.210708538,0.043982592,2.152362877,2.178948036,2.20884395,2.231620889,2.290575925,42,2.21807355,0.048122251,2.081748445,2.191911841,2.222636285,2.248095944,2.308716367,,0.728706138,0.316818037,0.748728998,0.28606364,0.636117169,0.256106036
FDs_DNN_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,artery,1,91,1.78090043,0.04577669,1.697085353,1.751715054,1.769253775,1.80702224,1.935968775,37,1.780483185,0.047322595,1.703333275,1.748521929,1.769196869,1.79893953,1.894326182,12,1.773728248,0.031417475,1.727643264,1.751015752,1.76885295,1.804030251,1.828528449,42,1.783317198,0.048451485,1.697085353,1.755284849,1.772454844,1.811131471,1.935968775,,0.646995385,0.467572522,0.793820651,0.327428614,0.521454942,0.297861993
FDs_DNN_SCALE_ArtVein__Fractal_Dimension,whole,artery,1,91,2.05308989,0.049927401,1.852779165,2.027218697,2.061733635,2.081574967,2.162531935,37,2.06833334,0.036832167,2.012986213,2.037586077,2.066086148,2.085272389,2.162531935,12,2.036967222,0.077190249,1.852779165,2.010271665,2.052215153,2.080931311,2.133225743,42,2.044267613,0.048131381,1.935030436,2.016417541,2.058194946,2.079293122,2.120063545,,0.061727837,0.115584949,0.01573534,0.035706997,0.68975733,0.487551276
FDs_FACTOR_0_5_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,artery,0.5,91,1.693457532,0.052281053,1.581749885,1.659192397,1.698386804,1.72834733,1.846279551,37,1.679818784,0.05443782,1.587079132,1.641412515,1.676234282,1.71668919,1.800265867,12,1.697561683,0.039047992,1.622309593,1.679255395,1.701763182,1.728190828,1.746981316,42,1.704300005,0.051918846,1.581749885,1.674447561,1.702628005,1.731663948,1.846279551,,0.302697218,0.106777436,0.0443366,0.023322716,0.679065801,0.405447344
FDs_FACTOR_0_6_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,artery,0.6,91,1.798496221,0.054127755,1.67673453,1.763973112,1.800779913,1.837055787,1.956816428,37,1.783767626,0.056244635,1.690027383,1.745586738,1.779497401,1.821233312,1.908888331,12,1.803693064,0.040303653,1.724524502,1.786135915,1.809362646,1.834945697,1.854146796,42,1.8099866,0.053655343,1.67673453,1.779702634,1.806345067,1.841283836,1.956816428,,0.26302557,0.094490708,0.037325557,0.017971245,0.708374634,0.421655753
FDs_FACTOR_0_7_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,artery,0.7,91,1.890729994,0.055975927,1.759264754,1.853263289,1.893068724,1.929861084,2.052402975,37,1.874762841,0.057784564,1.780298553,1.834783405,1.871826437,1.912732222,2.003793875,12,1.89701068,0.042140866,1.812790484,1.880286894,1.903787645,1.929419747,1.950594992,42,1.903001813,0.055441773,1.759264754,1.873473388,1.898547702,1.936008192,2.052402975,,0.225486863,0.073098622,0.029730569,0.014052249,0.730779061,0.454446712
FDs_FACTOR_0_8_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,artery,0.8,91,1.973240665,0.057042394,1.835967659,1.93572401,1.977732262,2.013651892,2.137167274,37,1.956685045,0.058750468,1.860913462,1.91610469,1.952531693,1.996252523,2.087348259,12,1.980149532,0.04265619,1.89459462,1.962555603,1.987575734,2.012978618,2.03315606,42,1.985851415,0.056563902,1.835967659,1.956498198,1.982546754,2.018979399,2.137167274,,0.208627409,0.083279262,0.02757499,0.013363772,0.747951744,0.454446712
FDs_FACTOR_0_9_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,artery,0.9,91,2.046994676,0.057241219,1.90730821,2.010237453,2.048922917,2.08703746,2.210795591,37,2.030004729,0.058878139,1.931790017,1.989949924,2.025765556,2.069935186,2.160076572,12,2.054101435,0.042347412,1.96911344,2.037125863,2.061912132,2.086633078,2.103517334,42,2.059931508,0.056751346,1.90730821,2.032107542,2.057252933,2.094152633,2.210795591,,0.197213952,0.076380618,0.024267986,0.011178507,0.742965959,0.462702267
FDs_FACTOR_1_0_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,artery,1,91,2.112962651,0.057303108,1.97026405,2.077189075,2.114476104,2.151612408,2.274682367,37,2.09572468,0.058993631,1.996550272,2.055630973,2.091138444,2.136910499,2.224757414,12,2.120342091,0.042448876,2.033029607,2.102791478,2.128794539,2.153103831,2.168425888,42,2.126040071,0.05665202,1.97026405,2.098994456,2.123778996,2.160946675,2.274682367,,0.188751663,0.073098622,0.022546848,0.010893187,0.748290895,0.495849827
FDs_FACTOR_1_1_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,artery,1.1,91,2.172275722,0.0570038,2.024123164,2.136972082,2.175858106,2.21039597,2.33146971,37,2.155094634,0.058802125,2.05444895,2.114180227,2.152307361,2.196728454,2.282994261,12,2.179451628,0.041767148,2.092978982,2.160693126,2.189187045,2.210939659,2.227640015,42,2.185361184,0.056320324,2.024123164,2.158956402,2.184642023,2.219825756,2.33146971,,0.191202856,0.076380618,0.022160409,0.010074921,0.737472433,0.454446712
FDs_FACTOR_1_2_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,artery,1.2,91,2.226082666,0.056390703,2.075717035,2.192561022,2.231216855,2.264004876,2.382059934,37,2.20918022,0.058133779,2.107278838,2.168136464,2.206868118,2.251094418,2.335239384,12,2.233397013,0.041116881,2.147682957,2.212668951,2.243381084,2.263406596,2.281018088,42,2.238883102,0.055839005,2.075717035,2.213697207,2.239534125,2.272727332,2.382059934,,0.188495803,0.076380618,0.023318837,0.009814349,0.75339129,0.429811848
FDs_FACTOR_1_3_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,artery,1.3,91,2.274701281,0.055283981,2.123039158,2.241797249,2.280961789,2.311538449,2.426150583,37,2.25806676,0.056866576,2.155718478,2.217419438,2.255515112,2.300403244,2.380519009,12,2.282108023,0.039928387,2.19887436,2.259852968,2.292919913,2.310437556,2.328201344,42,2.287239289,0.054909151,2.123039158,2.262443728,2.288069451,2.317954811,2.426150583,,0.181714813,0.069925648,0.023141899,0.009814349,0.764702243,0.429811848
FDs_FACTOR_1_4_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,artery,1.4,91,2.318900564,0.053989384,2.166699326,2.287276442,2.325109773,2.354000312,2.465260224,37,2.302794376,0.055461309,2.201131492,2.263214473,2.300217308,2.345505246,2.420395198,12,2.326106664,0.038673386,2.244570364,2.303314692,2.337579395,2.351022081,2.370899589,42,2.331030464,0.053817559,2.166699326,2.309672633,2.331814236,2.359714165,2.465260224,,0.183805597,0.061040983,0.024520066,0.009814349,0.769164529,0.381443906
FDs_FACTOR_1_5_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,artery,1.5,91,2.359238367,0.052590762,2.207634127,2.32787236,2.366455951,2.391633148,2.500327694,37,2.343759415,0.054060007,2.242179527,2.30545045,2.341617635,2.385722897,2.455947212,12,2.366311056,0.037226817,2.287204222,2.344121175,2.378099571,2.389104121,2.408855222,42,2.370853818,0.052576386,2.207634127,2.348754609,2.371864072,2.398919121,2.500327694,,0.18638366,0.061040983,0.026933219,0.010341509,0.781277907,0.413533131
FDs_FACTOR_0_5_SCALE_ArtVein__Fractal_Dimension,whole,artery,0.5,91,2.011396883,0.047696526,1.863147018,1.988959918,2.010422422,2.044549791,2.108790478,37,2.019788923,0.036336622,1.957825697,1.994107023,2.008080817,2.042111695,2.099108228,12,2.002845058,0.070295711,1.863147018,1.979121917,2.009669684,2.035609073,2.108790478,42,2.006447273,0.048976099,1.891779857,1.970241267,2.011323397,2.045747311,2.08020548,,0.278902735,0.350631092,0.177962812,0.220282222,0.839864653,0.437998008
FDs_FACTOR_0_6_SCALE_ArtVein__Fractal_Dimension,whole,artery,0.6,91,2.065573919,0.046807398,1.917466743,2.03985167,2.066416265,2.099491063,2.159799261,37,2.074327689,0.035457919,2.006555204,2.050224153,2.06111632,2.099975154,2.150118117,12,2.054576844,0.068561901,1.917466743,2.015721354,2.060703467,2.093866002,2.159799261,42,2.061004286,0.048148864,1.941209891,2.027341247,2.073198961,2.102176295,2.13581695,,0.196928216,0.239127924,0.170271035,0.194987451,0.713166353,0.373538097
FDs_FACTOR_0_7_SCALE_ArtVein__Fractal_Dimension,whole,artery,0.7,91,2.112223155,0.04612059,1.976436052,2.085938255,2.112897774,2.146149213,2.205240513,37,2.120205773,0.034911777,2.047968523,2.096564887,2.112897774,2.145177114,2.190967216,12,2.102580245,0.064862745,1.976436052,2.060688153,2.107773826,2.143755207,2.205240513,42,2.107945965,0.048650319,1.98515077,2.079192418,2.11918373,2.147963714,2.188229912,,0.231800529,0.246400361,0.207543909,0.211648453,0.756103389,0.357888106
FDs_FACTOR_0_8_SCALE_ArtVein__Fractal_Dimension,whole,artery,0.8,91,2.154952134,0.046099672,2.023794677,2.125372466,2.156083499,2.189286602,2.241892531,37,2.162018735,0.036170073,2.087404355,2.137613692,2.156083499,2.185840858,2.230352359,12,2.144430031,0.062599496,2.023794677,2.10039845,2.150440167,2.185388805,2.241892531,42,2.15173311,0.048753034,2.024352434,2.120907618,2.159023427,2.18982852,2.237642551,,0.232881363,0.198049793,0.295687183,0.247360944,0.669593397,0.357888106
FDs_FACTOR_0_9_SCALE_ArtVein__Fractal_Dimension,whole,artery,0.9,91,2.191229637,0.046280839,2.058984151,2.164253792,2.193449751,2.224425659,2.280644604,37,2.195734925,0.035630732,2.122405529,2.172867366,2.194540669,2.218061748,2.265739477,12,2.182366452,0.060697117,2.067567388,2.136392853,2.188166664,2.222568248,2.277248311,42,2.189793031,0.050548883,2.058984151,2.158980505,2.193738949,2.225579197,2.280644604,,0.352277682,0.253789688,0.552817416,0.371029442,0.669526623,0.357888106
FDs_FACTOR_1_0_SCALE_ArtVein__Fractal_Dimension,whole,artery,1,91,2.224725828,0.04588368,2.092926852,2.198107032,2.227365055,2.25749521,2.309807822,37,2.228917455,0.036629105,2.15349173,2.205926055,2.22976254,2.252511373,2.300455458,12,2.216244159,0.059516796,2.106536514,2.168798546,2.219343198,2.256395064,2.309807822,42,2.223456538,0.049542159,2.092926852,2.19491767,2.22666594,2.260068121,2.309714505,,0.380480232,0.239127924,0.583422073,0.37847873,0.672396717,0.389399494
FDs_FACTOR_1_1_SCALE_ArtVein__Fractal_Dimension,whole,artery,1.1,91,2.254370924,0.046064499,2.120547829,2.229477023,2.255997731,2.284899545,2.339210206,37,2.257457179,0.037525597,2.182035729,2.234927723,2.258061861,2.277365354,2.333087009,12,2.246932944,0.058953445,2.140093029,2.198817239,2.248418481,2.287515767,2.339210206,42,2.253777216,0.049637363,2.120547829,2.226733604,2.254727356,2.291342436,2.336822661,,0.470031667,0.308585123,0.714108148,0.486284468,0.687822104,0.365685156
FDs_FACTOR_1_2_SCALE_ArtVein__Fractal_Dimension,whole,artery,1.2,91,2.280868455,0.046122818,2.146175066,2.256267326,2.280882867,2.312487693,2.365527093,37,2.283744025,0.038394501,2.208201185,2.260128783,2.28223519,2.308630691,2.362632204,12,2.272572363,0.060966293,2.160319316,2.22544247,2.273633797,2.314248137,2.365527093,42,2.280705526,0.048481977,2.146175066,2.25322954,2.280805284,2.318483446,2.359665109,,0.45571506,0.276636435,0.760504071,0.45112918,0.630678827,0.3501499
FDs_FACTOR_1_3_SCALE_ArtVein__Fractal_Dimension,whole,artery,1.3,91,2.30585212,0.04678109,2.171828475,2.279595588,2.304299237,2.335904798,2.40334142,37,2.310131158,0.041923336,2.232066556,2.284124368,2.306399016,2.334105382,2.40334142,12,2.297524154,0.060122991,2.18857006,2.250362671,2.29761495,2.337218814,2.389584014,42,2.304461911,0.047456408,2.171828475,2.276847809,2.305532693,2.339614503,2.3859495,,0.421728335,0.261293727,0.577562163,0.49804026,0.675836569,0.365685156
FDs_FACTOR_1_4_SCALE_ArtVein__Fractal_Dimension,whole,artery,1.4,91,2.328099134,0.047443711,2.193126151,2.299246303,2.327948236,2.35988329,2.424473815,37,2.332224185,0.042561358,2.254371798,2.30591707,2.327948236,2.356543318,2.424473815,12,2.320607156,0.059472951,2.21352917,2.273552816,2.319270352,2.358815269,2.411504597,42,2.326605726,0.048656197,2.193126151,2.295431752,2.32865915,2.363459229,2.411001498,,0.461198941,0.268910141,0.588830355,0.486284468,0.721510044,0.3501499
FDs_FACTOR_1_5_SCALE_ArtVein__Fractal_Dimension,whole,artery,1.5,91,2.347398069,0.046689856,2.212288422,2.319491976,2.345582798,2.381376301,2.437128356,37,2.350258507,0.042065586,2.27509628,2.325319881,2.343906658,2.376162629,2.437128356,12,2.341214536,0.058575954,2.235752805,2.295524349,2.336990024,2.378708053,2.428386644,42,2.346644883,0.047872898,2.212288422,2.316610865,2.346108967,2.384954699,2.434341735,,0.560689635,0.325142683,0.724168436,0.47845326,0.742994281,0.342473416
FDs_20SizeBy1_allOffsets_ArtVein__Fractal_Dimension,whole,artery,1,91,2.121188334,0.057866624,1.978656938,2.083584525,2.124370915,2.163170321,2.283414171,37,2.103295299,0.059734941,2.004196671,2.061417425,2.10026484,2.144415471,2.234853611,12,2.12861674,0.043366989,2.038431483,2.113104057,2.136281295,2.158889328,2.182026004,42,2.134828844,0.056719514,1.978656938,2.104244511,2.130581968,2.168936411,2.283414171,,0.182500261,0.066859731,0.018566186,0.008149652,0.727494156,0.437998008
FDs_20SizeBy1_ArtVein__Fractal_Dimension,whole,vein,1,91,1.963791581,0.050277973,1.783273893,1.937723352,1.971686101,1.991596317,2.065196096,37,1.985728456,0.036636064,1.910127573,1.965117137,1.981949089,2.000260518,2.065196096,12,1.968135874,0.027934195,1.929924541,1.94531234,1.966089065,1.985024201,2.013866714,42,1.943225012,0.057341251,1.783273893,1.911265205,1.947280687,1.983575452,2.054619015,,0.13471749,0.066859731,0.000229946,0.000319977,0.153269661,0.071209617
FDs_ArtVein__Fractal_Dimension,whole,vein,1,91,2.09380499,0.062277242,1.869249722,2.053744604,2.097086082,2.136431592,2.227912611,37,2.128823588,0.045109161,2.023640899,2.095212967,2.125314312,2.161112917,2.227912611,12,2.090074422,0.058344405,1.976948825,2.056957134,2.083387464,2.129127882,2.186236054,42,2.064021149,0.06159756,1.869249722,2.028958637,2.073237233,2.10767632,2.167170255,,0.020239769,0.017685636,1.20E-06,1.57E-06,0.197148335,0.111770498
FDs_DNN_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,vein,1,91,1.680712372,0.053133094,1.476052428,1.656133807,1.690677604,1.713252563,1.787851574,37,1.711876412,0.032085806,1.635564401,1.692489644,1.711249071,1.730840755,1.787851574,12,1.679359053,0.027960029,1.619096293,1.67045805,1.676405189,1.695134316,1.720856912,42,1.653645,0.058787066,1.476052428,1.618140308,1.659075088,1.692618952,1.767704779,,0.002915906,0.001516789,8.40E-07,1.12E-06,0.14996546,0.083237994
FDs_DNN_SCALE_ArtVein__Fractal_Dimension,whole,vein,1,90,1.959686911,0.078793015,1.7260808,1.917156938,1.964957919,2.012740547,2.146529213,37,2.008855841,0.05619296,1.892295547,1.970976242,2.010651786,2.035476778,2.146529213,12,1.94249025,0.092331093,1.743389637,1.91520087,1.95643622,1.994044468,2.075870616,41,1.920348118,0.068673691,1.7260808,1.889241419,1.9200785,1.973288174,2.044531966,,0.004227396,0.010352306,2.83E-08,7.88E-08,0.368896282,0.095600877
