% Pruning,control_count,control_median,pah_count,pah_median,Wilcoxon p value
0,37,2.30821770904,42,2.28203316829,0.0028404012832133094
5,37,2.30590922705,42,2.2798897238149998,0.0028404012832133094
10,37,2.30317891504,42,2.27811225431,0.002755988890083659
15,37,2.29981053868,42,2.27421660169,0.00329846390930616
20,37,2.29481137017,42,2.27105509582,0.0038219052824433213
25,37,2.28873689792,42,2.265793623855,0.004051331217947696
30,37,2.28237170552,42,2.26036954363,0.00417060434891487
35,37,2.27484756848,42,2.2539187467249997,0.005243567858904763
40,37,2.26626768146,42,2.2457872437599997,0.006738359579175754
45,37,2.25738936306,42,2.2369368112499997,0.008371142063438875
50,37,2.2469225708,42,2.2273897525199997,0.009559683505924043
55,37,2.23587376477,42,2.216280271375,0.012073792628023307
60,37,2.22070937737,42,2.202523959165,0.014771082010080318
65,37,2.20242874181,42,2.185730236965,0.018410073569746634
70,37,2.18083882546,42,2.1681368996,0.02738272030724654
75,37,2.15605007163,42,2.150424893515,0.04322641424486621
80,37,2.12581225497,42,2.118548068795,0.08680053743184779
85,37,2.09214018341,42,2.081457726135,0.13451895700871064
90,37,2.03833197299,42,2.03504626939,0.27612381604979486
95,37,1.9771230086,42,1.973408643115,0.412524348795977
100,37,1.65412644259,42,1.70194146103,0.015908545573179788
